Altium Designer Pick and Place Locations
D:\present\present_pcb\Project Outputs for present_pcb\Pick Place for PCB3.csv

========================================================================================================================
File Design Information:

Date:       19.12.24
Time:       18:48
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R18","CRCW1206100KFKEA","BottomLayer","RESC3216X60X45NL10T20","122.9360","83.4390","180","","Standard","0.6000","122.9360","-83.4390","124.3860","-83.4390"
"R17","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","135.5000","67.3000","308","","Standard","0.4000","135.5000","-67.3000","135.2537","-67.6152"
"R16","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","129.9000","67.3000","232","","Standard","0.4000","129.9000","-67.3000","130.1463","-67.6152"
"D16","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","135.6000","64.5000","40","LED RED DIFFUSED CHIP SMD","Standard","0.0000","135.6000","64.5000","134.2594","63.3751"
"D15","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","130.0000","64.5000","140","LED RED DIFFUSED CHIP SMD","Standard","0.0000","130.0000","64.5000","131.3406","63.3751"
"VCC","VCC","TopLayer","PCBComponent_1","134.1840","58.4000","90","pad for pins","Standard","0.0000","134.2400","58.3400","134.1840","58.4000"
"U1","ATMEGA328PB-AU","TopLayer","ATML-32A_L","132.8420","80.8990","315","AVR Microcontroller, 1.8 to 5.5 V, 32 KB Flash, 1 KB EEPROM, 2 KB SRAM, -40 to 85 degC, 32-Pin TQFP (32A), RoHS, Tray","Standard","1.2000","132.8420","80.8990","131.8874","85.8134"
"SW1","EVQ-P7B01P","BottomLayer","FP-EVQ-P7B01P-MFG","114.1170","78.8670","90","SWITCH TACTILE SPST-NO 0.05A 12V","Standard","0.0000","113.7920","-78.8670","114.8420","-77.0670"
"SCK","SCK ","TopLayer","PCBComponent_1","131.5000","58.4000","90","pad for pins","Standard","0.0000","130.6830","58.6000","131.5000","58.4000"
"RESET","RESET ","TopLayer","PCBComponent_1","140.9700","60.3000","90","pad for pins","Standard","0.0000","141.7710","60.3120","140.9700","60.3000"
"R15","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","145.4000","81.3000","338","","Standard","0.4000","145.4000","-81.3000","145.0291","-81.4498"
"R14","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","125.5000","71.3000","225","","Standard","0.4000","125.5000","-71.3000","125.7828","-71.5828"
"R13","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","121.8000","75.8000","218","","Standard","0.4000","121.8000","-75.8000","122.1152","-76.0463"
"R12","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","144.9070","79.6290","0","","Standard","0.4000","144.9070","-79.6290","144.5070","-79.6290"
"R11","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","120.0421","81.3519","205","","Standard","0.4000","120.0421","-81.3519","120.4046","-81.5209"
"R10","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","119.5070","86.3600","180","","Standard","0.4000","119.5070","-86.3600","119.9070","-86.3600"
"R9","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","120.8000","90.1000","145","","Standard","0.4000","120.8000","-90.1000","121.1277","-89.8706"
"R8","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","122.1000","91.3000","85","","Standard","0.4000","122.1000","-91.3000","122.0651","-90.9015"
"R7","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","140.1000","71.3000","315","","Standard","0.4000","140.1000","-71.3000","139.8171","-71.5828"
"R6","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","143.8000","75.8000","322","","Standard","0.4000","143.8000","-75.8000","143.4848","-76.0463"
"R5","CRCW040260R4FKED","TopLayer","RESC1005X40X25LL05T05","145.4580","86.3600","0","","Standard","0.4000","145.4580","86.3600","145.0580","86.3600"
"R4","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","144.8000","90.1000","35","","Standard","0.4000","144.8000","-90.1000","144.4724","-89.8706"
"R3","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","143.5000","91.3000","95","","Standard","0.4000","143.5000","-91.3000","143.5348","-90.9015"
"R2","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","127.3000","90.8000","225","","Standard","0.4000","127.3000","-90.8000","127.5828","-91.0828"
"R1","CRCW040260R4FKED","BottomLayer","RESC1005X40X25LL05T05","138.4000","90.8000","135","","Standard","0.4000","138.4000","-90.8000","138.6828","-90.5172"
"MOSI","MOSI ","TopLayer","PCBComponent_1","128.0160","59.0000","90","pad for pins","Standard","0.0000","128.0160","59.2560","128.0160","59.0000"
"MISO","MISO","TopLayer","PCBComponent_1","124.5870","60.3000","90","pad for pins","Standard","0.0000","124.5870","60.3250","124.5870","60.3000"
"GND","GND","TopLayer","PCBComponent_1","137.5410","59.0000","90","pad for pins","Standard","0.0000","137.5410","59.2830","137.5410","59.0000"
"DS1","HSMG-C170","BottomLayer","AVAG-HSMX-C170_V","151.6380","78.9000","90","Chip LED, Green, 2.2 V, -40 to 85 degC, 2-Pin SMD, Pb-Free, Tape and Reel","Standard","0.8000","151.6380","-78.9000","151.6380","-77.8500"
"D14","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","147.4000","78.6000","65","LED RED DIFFUSED CHIP SMD","Standard","0.0000","147.4000","78.6000","146.6604","77.0140"
"D13","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","125.4000","68.7000","135","LED RED DIFFUSED CHIP SMD","Standard","0.0000","125.4000","68.7000","126.6374","67.4625"
"D12","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","121.4000","73.3000","128","LED RED DIFFUSED CHIP SMD","Standard","0.0000","121.4000","73.3000","122.4774","71.9210"
"D11","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","118.2000","78.6000","115","LED RED DIFFUSED CHIP SMD","Standard","0.0000","118.2000","78.6000","118.9396","77.0140"
"D10","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","116.9000","84.6000","90","LED RED DIFFUSED CHIP SMD","Standard","0.0000","116.9000","84.6000","116.9000","82.8500"
"D9","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","118.7000","90.3000","55","LED RED DIFFUSED CHIP SMD","Standard","0.0000","118.7000","90.3000","117.6962","88.8665"
"D8","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","124.0000","93.0000","175","LED RED DIFFUSED CHIP SMD","Standard","0.0000","124.0000","93.0000","125.7434","92.8475"
"D7","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","140.2000","68.7000","45","LED RED DIFFUSED CHIP SMD","Standard","0.0000","140.2000","68.7000","138.9626","67.4625"
"D6","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","144.2000","73.3000","52","LED RED DIFFUSED CHIP SMD","Standard","0.0000","144.2000","73.3000","143.1226","71.9210"
"D5","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","148.7000","84.6000","90","LED RED DIFFUSED CHIP SMD","Standard","0.0000","148.7000","84.6000","148.7000","82.8500"
"D4","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","146.9000","90.3000","125","LED RED DIFFUSED CHIP SMD","Standard","0.0000","146.9000","90.3000","147.9037","88.8665"
"D3","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","141.6000","93.0000","5","LED RED DIFFUSED CHIP SMD","Standard","0.0000","141.6000","93.0000","139.8567","92.8475"
"D2","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","129.9000","91.0000","135","LED RED DIFFUSED CHIP SMD","Standard","0.0000","129.9000","91.0000","131.1374","89.7626"
"D1","HSMS-C150","TopLayer","FP-HSMS-C150-MFG","135.7000","91.0000","45","LED RED DIFFUSED CHIP SMD","Standard","0.0000","135.7000","91.0000","134.4626","89.7626"
"C2","GCM21BR70J106KE22L","BottomLayer","FP-GCM21B-0_15-IPC_C","114.0000","73.9000","0","Ceramic Capacitor for Automotive 10uF ±10% 6.3VDC X7R 0805 Embossed T/R","Standard","0.0000","114.0000","-73.9000","113.2737","-73.9000"
"C1","GCM21BR70J106KE22L","BottomLayer","FP-GCM21B-0_15-IPC_C","114.0000","83.8000","180","Ceramic Capacitor for Automotive 10uF ±10% 6.3VDC X7R 0805 Embossed T/R","Standard","0.0000","114.0000","-83.8000","114.7263","-83.8000"
